timestamp,cpu,ram,disk
2025-08-01_16:45:29,8.4,51.00,78
2025-08-01_16:45:59,5,52.00,78
2025-08-01_16:46:29,5,51.00,78
2025-08-01_16:47:00,4,52.00,78
2025-08-01_16:47:30,4,52.00,78
2025-08-01_16:48:00,5,52.00,78
2025-08-01_16:58:04,9,52.00,
2025-08-01_17:10:51,17.7,53.00,
2025-08-01_17:18:49,19.6,52.00,
2025-08-01_17:53:21,18.7,55.00,78
2025-08-01_18:03:39,16.8,55.00,78
2025-08-01_18:04:10,5,55.00,78
2025-08-01_18:04:40,4,55.00,78
2025-08-01_18:05:10,5,55.00,78
2025-08-01_18:07:05,15.8,55.00,78
2025-08-01_18:07:36,4,52.00,78
2025-08-01_18:08:06,5,52.00,78
2025-08-01_18:08:36,5,52.00,78
2025-08-01_18:13:16,19.2,53.00,78
2025-08-01_18:13:46,5.8,52.00,78
2025-08-01_18:14:39,18.8,53.00,78
2025-08-01_18:15:46,24.2,53.00,78
2025-08-01_18:16:17,4,53.00,78
2025-08-01_18:18:13,20.4,53.00,78
2025-08-01_18:18:43,5,53.00,78
2025-08-01_18:24:13,21.4,54.00,78
2025-08-01_18:32:27,19.6,54.00,78
